Clave pintura,Date,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion,FYEILD,Litros
0486-DORIAN GRAY LOW GLOSS,2020-07-28 00:00:00,5,806.25,U0486_AKZO,8,7274.244991,9.022319368,1,9.022319368,806.25
0486-DORIAN GRAY LOW GLOSS,2020-08-03 00:00:00,11,996.25,U0486_AKZO,10,10324.56571,10.36342856,1,10.36342856,996.25
0486-DORIAN GRAY LOW GLOSS,2020-08-05 00:00:00,2,248.5,U0486_AKZO,6,5210.46908,20.96768241,1,20.96768241,248.5
0486-DORIAN GRAY LOW GLOSS,2020-08-06 00:00:00,12,1923.25,U0486_AKZO,21,18100.89325,9.411617447,1,9.411617447,1923.25
0486-DORIAN GRAY LOW GLOSS,2020-08-10 00:00:00,14,2295.25,U0486_AKZO,29,26846.60142,11.69659141,1,11.69659141,2295.25
0486-DORIAN GRAY LOW GLOSS,2020-08-11 00:00:00,5,732.75,U0486_AKZO,,,,1,24.94155452,732.75
0486-DORIAN GRAY LOW GLOSS,2020-08-13 00:00:00,6,866.25,U0486_AKZO,8,8279.908322,9.558335725,1,9.558335725,866.25
0486-DORIAN GRAY LOW GLOSS,2020-08-17 00:00:00,18,2452.58,U0486_AKZO,26,24118.30147,9.833849037,1,9.833849037,2452.58
0486-DORIAN GRAY LOW GLOSS,2020-08-19 00:00:00,5,897,U0486_AKZO,12,10888.33641,12.13861361,1,12.13861361,897
0486-DORIAN GRAY LOW GLOSS,2020-08-20 00:00:00,4,592.75,U0486_AKZO,3,2282.37306,3.850481755,1,3.850481755,592.75
0486-DORIAN GRAY LOW GLOSS,2020-08-22 00:00:00,1,189.25,U0486_AKZO,9,8627.28822,45.58672772,1,45.58672772,189.25
0486-DORIAN GRAY LOW GLOSS,2020-08-23 00:00:00,18,2788.75,U0486_AKZO,31,31438.79816,11.27343726,1,11.27343726,2788.75
0486-DORIAN GRAY LOW GLOSS,2020-08-28 00:00:00,5,757,U0486_AKZO,13,12693.6297,16.76833514,1,16.76833514,757
