Clave pintura,Year-Week,Frequency_usage,Liters_Used,Material_Names,Frequency_area,Painted_Area_m2,Yield_m2_per_L,Seleccion
0411-AMERICAN STERLING HVAC,2020-30,4,330,I3465_VALS,1,689.512,2.089430303,1
0411-AMERICAN STERLING HVAC,2020-31,3,220,I3465_VALS,3,2482.381,11.28355,1
0411-AMERICAN STERLING HVAC,2020-32,2,120,I3465_VALS,6,2909.57671,24.24647258,1
0411-AMERICAN STERLING HVAC,2020-34,8,390,I3465_VALS,10,3552.208,9.108225641,1
0411-AMERICAN STERLING HVAC,2020-35,2,260,I3465_VALS,4,3508.96845,13.4960325,1
0411-AMERICAN STERLING HVAC,2020-36,5,390,I3465_VALS,16,8260.47928,21.1807161,1
0411-AMERICAN STERLING HVAC,2020-38,2,250,I3465_VALS,4,4158.54224,16.63416896,1
0411-AMERICAN STERLING HVAC,2020-41,5,380,I3465_VALS,8,3590.708,9.449231579,1
0486-DORIAN GRAY LOW GLOSS,2020-02,24,3455.75,U0486_AKZO,25,24924.05836,7.212344168,1
0486-DORIAN GRAY LOW GLOSS,2020-03,23,3546.5,U0486_AKZO,34,34862.57753,9.830136057,1
0486-DORIAN GRAY LOW GLOSS,2020-04,26,3714.39,U0486_AKZO,31,31415.6505,8.457822281,1
0486-DORIAN GRAY LOW GLOSS,2020-05,13,1553.25,U0486_AKZO,12,13404.67745,8.630083665,1
0486-DORIAN GRAY LOW GLOSS,2020-06,26,3917.8,U0486_AKZO,30,34119.47793,8.708836063,1
0486-DORIAN GRAY LOW GLOSS,2020-07,7,1196.25,U0486_AKZO,14,16006.07867,13.38021205,1
0486-DORIAN GRAY LOW GLOSS,2020-08,41,6418,U0486_AKZO,56,66271.83739,10.32593291,1
0486-DORIAN GRAY LOW GLOSS,2020-09,47,6443.75,U0486_AKZO,60,61673.19604,9.571010054,1
0486-DORIAN GRAY LOW GLOSS,2020-10,9,1101.25,U0486_AKZO,17,16764.90087,15.22351952,1
0486-DORIAN GRAY LOW GLOSS,2020-11,44,6574.5,U0486_AKZO,51,65919.67236,10.02656816,1
0486-DORIAN GRAY LOW GLOSS,2020-12,42,6951.65,U0486_AKZO,64,63540.61531,9.140364562,1
0486-DORIAN GRAY LOW GLOSS,2020-14,12,1853.25,U0486_AKZO,9,10516.25221,5.67449195,1
